# Resultados Derivación Numérica
Tiempo	 Posición	 Velocidad	 Error_velocidad	 Aceleración	 Error_aceleración 
3.21600000	 3.26117000	 1.92520833	 0.00012523	 0.50781250	 0.06960872
3.24000000	 3.30752000	 1.93729167	 0.00004336	 0.50347222	 0.07324698
3.26400000	 3.35416000	 1.94937500	 0.00000934	 0.50347222	 0.07254750
3.28800000	 3.40109000	 1.96145833	 0.00003295	 0.50347222	 0.07185054
3.31200000	 3.44831000	 1.97354167	 0.00002754	 0.50347222	 0.07115609
3.33600000	 3.49582000	 1.98562500	 0.00000683	 0.49913194	 0.07480441
3.36000000	 3.54362000	 1.99750000	 0.00013826	 0.49913194	 0.07411495
3.38400000	 3.59170000	 2.00958333	 0.00004620	 0.50347222	 0.06908769
3.40800000	 3.64008000	 2.02166667	 0.00007461	 0.49913194	 0.07274345
3.43200000	 3.68874000	 2.03354167	 0.00001575	 0.49479167	 0.07640167
3.45600000	 3.73769000	 2.04541667	 0.00001449	 0.49479167	 0.07572205
3.48000000	 3.78692000	 2.05729167	 0.00001620	 0.49479167	 0.07504487
3.50400000	 3.83644000	 2.06916667	 0.00001056	 0.49479167	 0.07437012
3.52800000	 3.88624000	 2.08104167	 0.00006573	 0.49045139	 0.07803805
3.55200000	 3.93633000	 2.09270833	 0.00005911	 0.48611111	 0.08170839
3.57600000	 3.98669000	 2.10437500	 0.00015568	 0.49045139	 0.07670057
3.60000000	 4.03734000	 2.11625000	 0.00001572	 0.49479167	 0.07169512
3.62400000	 4.08827000	 2.12812500	 0.00015237	 0.49045139	 0.07537261
3.64800000	 4.13949000	 2.13979167	 0.00014020	 0.48177083	 0.08339273
3.67200000	 4.19098000	 2.15125000	 0.00005232	 0.48177083	 0.08273465
3.69600000	 4.24275000	 2.16291667	 0.00000858	 0.48177083	 0.08207891
3.72000000	 4.29480000	 2.17437500	 0.00014530	 0.48177083	 0.08142551
3.74400000	 4.34712000	 2.18604167	 0.00004590	 0.48611111	 0.07643414
3.76800000	 4.39973000	 2.19770833	 0.00008123	 0.48177083	 0.08012564
3.79200000	 4.45261000	 2.20916667	 0.00002769	 0.47743056	 0.08381944
3.81600000	 4.50577000	 2.22062500	 0.00000174	 0.47743056	 0.08317526
3.84000000	 4.55920000	 2.23208333	 0.00000332	 0.47743056	 0.08253335
3.86400000	 4.61291000	 2.24354167	 0.00003237	 0.47309028	 0.08623400
3.88800000	 4.66689000	 2.25479167	 0.00011952	 0.47309028	 0.08559663
3.91200000	 4.72114000	 2.26625000	 0.00003575	 0.47743056	 0.08062123
3.93600000	 4.77567000	 2.27770833	 0.00007530	 0.47309028	 0.08432863
3.96000000	 4.83047000	 2.28895833	 0.00000520	 0.46875000	 0.08803826
3.98400000	 4.88554000	 2.30020833	 0.00003775	 0.46875000	 0.08740984
4.00800000	 4.94088000	 2.31145833	 0.00005364	 0.46875000	 0.08678362
4.03200000	 4.99649000	 2.32270833	 0.00004251	 0.46875000	 0.08615962
4.05600000	 5.05237000	 2.33395833	 0.00000445	 0.46875000	 0.08553781
4.08000000	 5.10852000	 2.34520833	 0.00006049	 0.46440972	 0.08925846
4.10400000	 5.16494000	 2.35625000	 0.00005610	 0.46440972	 0.08864100
